_id,Incident Type,Date & Time Occurred Start,Date & Time Occurred End,Criminal Offense,Date & Time Reported,Location,Common Name,Disposition
2014-00000358,Service to Other Agency,Mar  1 2014 01:56:00:000AM,Mar  1 2014 03:00:00:000AM,,Mar  1 2014 02:14:43:000AM,912 HAMLIN ST,,Closed
2014-00000363,Public Service,Mar  1 2014 10:05:00:000PM,Mar  1 2014 10:20:00:000PM,,Mar  1 2014 10:05:38:000PM,1947 CAMPUS DR,,Closed
2014-00000364,Public Contact,Mar  1 2014 10:05:00:000PM,Mar  1 2014 10:30:00:000PM,"Underage Possession of Alcohol-sale,gift delivery/purchase or posess
Illegal Consumption by Minor",Mar  1 2014 10:30:25:000PM,1927 ORRINGTON AVE,,Referred
2014-00000365,Drunkeness,Mar  1 2014 10:42:00:000PM,Mar  1 2014 11:10:00:000PM,Illegal Consumption by Minor,Mar  1 2014 10:42:17:000PM,2245 SHERIDAN RD,,Closed
2014-00000367,Liquor law violations,Mar  2 2014 12:24:00:000AM,Mar  2 2014 01:25:00:000AM,Minor in Possession Purchase/Accept,Mar  2 2014 12:32:49:000AM,SHERMAN AVE,,Referred
2014-00000368,Admin Info,Mar  2 2014 12:43:00:000AM,Mar  2 2014 02:05:00:000AM,,Mar  2 2014 12:43:39:000AM,EMERSON ST,,Closed
2014-00000369,Cannabis,Mar  2 2014 12:50:00:000AM,Mar  2 2014 01:30:00:000AM,Possession of Cannabis Prohibited,Mar  2 2014 12:50:33:000AM,1820 SHERIDAN RD,,Referred
2014-00000371,"Accident, personal injury",Mar  2 2014 08:10:00:000PM,Mar  2 2014 08:35:00:000PM,,Mar  2 2014 08:11:59:000PM,617 FOSTER ST,,Closed
2014-00000372,Sexual assault,Feb 11 2014 12:01:00:000AM,Feb 11 2014 11:59:00:000PM,Criminal Sexual Assault,Mar  3 2014 07:57:00:000AM,NORTH CAMPUS RESIDENCE,,Closed
2014-00000373,Suspicious Circumstances,Mar  2 2014 05:00:00:000PM,Mar  2 2014 05:00:00:000PM,,Mar  3 2014 10:09:14:000AM,1018 BURR OAKS ST,,Open
2014-00000374,Theft,Mar  2 2014 09:20:00:000PM,Mar  2 2014 09:30:00:000PM,Theft $500 and Under,Mar  3 2014 12:00:25:000PM,50 ARTS CIRCLE DR,,Open
2014-00000375,Public Service,Mar  3 2014 01:44:00:000PM,Mar  3 2014 02:30:00:000PM,,Mar  3 2014 01:45:29:000PM,2169 CAMPUS DR,,Closed
2014-00000378,Mental Case,Mar  3 2014 04:05:00:000PM,Mar  3 2014 05:00:00:000PM,,Mar  3 2014 04:05:15:000PM,1610 MAPLE AVE,,Closed
2014-00000379,Public Service,Mar  4 2014 11:04:00:000AM,Mar  4 2014 11:24:00:000AM,,Mar  4 2014 11:23:05:000AM,1820 SHERIDAN RD,,Closed
2014-00000380,Theft,Feb 27 2014 03:00:00:000PM,Mar  3 2014 12:00:00:000PM,Theft $500 and Under,Mar  4 2014 02:53:34:000PM,610 LINCOLN ST,,Closed
2014-00000382,Public Service,Mar  4 2014 03:41:00:000PM,Mar  4 2014 05:02:00:000PM,,Mar  4 2014 03:41:29:000PM,633 EMERSON ST,,Closed
2014-00000384,Theft,Mar  4 2014 01:00:00:000PM,Mar  4 2014 01:15:00:000PM,Theft Over $500,Mar  4 2014 04:41:21:000PM,720 EMERSON ST,,Open
2014-00000383,Suspicious Circumstances,Mar  4 2014 02:30:00:000PM,Mar  4 2014 02:32:00:000PM,,Mar  4 2014 04:41:54:000PM,1845 SHERIDAN RD,,Closed
2014-00000387,Public Contact,Mar  4 2014 09:45:00:000AM,Mar  4 2014 10:00:00:000AM,,Mar  5 2014 09:37:18:000AM,1201 DAVIS ST,,Closed
2014-00000392,Theft,Feb 27 2014 05:00:00:000PM,Mar  6 2014 01:30:00:000PM,Theft Over $500,Mar  6 2014 01:21:11:000PM,711 ELGIN RD,,Closed
2014-00000393,Lost & found prop,Feb 27 2014 05:00:00:000PM,Mar  6 2014 04:00:00:000PM,,Mar  6 2014 04:22:59:000PM,SHERIDAN RD,,Closed
2014-00000394,Public Contact,Mar  6 2014 06:54:00:000PM,Mar  6 2014 07:07:00:000PM,,Mar  6 2014 07:09:38:000PM,2020 CAMPUS DR,,Closed
2014-00000396,Lost & found prop,Mar  6 2014 02:00:00:000PM,Mar  6 2014 03:30:00:000PM,Theft Over $500,Mar  6 2014 07:48:06:000PM,1999 CAMPUS DR,,Closed
2014-00000395,Suspicious Person(s),Mar  6 2014 07:15:00:000PM,Mar  6 2014 08:05:00:000PM,,Mar  6 2014 08:07:51:000PM,1927 ORRINGTON AVE,,Closed
2014-00000397,Public Service,Mar  6 2014 09:39:00:000PM,Mar  6 2014 09:55:00:000PM,,Mar  6 2014 09:39:55:000PM,2245 SHERIDAN RD,,Closed
2014-00000398,Service to Other Agency,Mar  7 2014 12:27:00:000AM,Mar  7 2014 01:00:00:000AM,,Mar  7 2014 12:55:20:000AM,1410 CHICAGO AVE,,Closed
